id,name,description,location
1,Piata 700,Piata comunala 700,"Strada Coriolan Brediceanu, Timisoara"
2,Piata Iosefin,Piata Iosefin,"Strada Iancu Vacarescu,Timisoara"
3,Piata Doina,Piata Doina,"Strada Mures, Timisoara"
4,Piata Badea Cartan,"Piata de legume, fructe, branzeturi, mezeluri si flori.","Badea Cartan, Timisoara"
5,Piata Giroc,Piata Giroc,"Strada Martir Elena Nicoara, Timisoara"
6,Piata de Gros,Piata de legume si fructe en gros,"Strada Ovidiu Balea 2, Timisoara"
7,Piata Dacia,Piata dintre blocuri,"Strada Burebista, Timisoara"
